Date, Sample size , Positive cases , Male , Female , Recoveries , Deaths ,Nairobi,Mombasa,Vihiga,Kiambu,Kisii,Bungoma,Nyamira,Kakamega,Kisumu,Busia,Kirinyaga,Murang'a,Bomet,Migori,Trans-Nzoia,Siaya,Uasin Gishu,Kericho,Homa Bay,Nyeri,Nandi,Nakuru,Machakos,Embu,Meru,Nyandarua,Tharaka-Nithi,Elgeyo-Marakwet,Makueni,Kilifi,Kwale,West Pokot,Narok,Baringo,Laikipia,Kajiado,Kitui,Mandera,Lamu,Taita–Taveta,Garissa,Samburu,Wajir,Turkana,Isiolo,Tana River,Marsabit
5/26/2020,2293,62,45,17,3,2,23,16,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,6,3,,,,,,,,,,
5/27/2020,3077,123,78,45,3,3,85,24,,4,,,,,2,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,3,1,,,,1,,,,,,
5/28/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2020,3519,307,215,92,50,1,154,38,,20,,,,,1,10,,,,,,,1,4,,,,5,33,,,,,,5,1,,,20,,,14,1,,,,,,,,,,
7/2/2020,2704,268,160,108,20,3,175,28,,11,,,,,,18,,1,,9,,,8,,,,,,6,,,,,,1,,,,2,,,9,,,,,,,,,,,
7/3/2020,4147,247,164,83,39,2,153,35,,12,,,1,,,12,,2,,,,2,4,,,,,2,4,,,,,,,,,,,,,15,,,1,,4,,,,,,
7/4/2020,4829,389,266,123,88,5,248,23,,27,,,,,,17,,1,,9,,,3,,,,,2,10,,,,,,3,2,,,1,,,36,6,,,,1,,,,,,
7/5/2020,4228,309,217,92,51,1,193,18,,20,,,,1,,11,,,,,,,,,,,3,8,9,,,1,,,17,1,,,2,,,22,,,,,,,,3,,,
7/6/2020,2131,181,123,58,127,4,134,9,,19,,,,,,,1,2,,,,,1,,,,,,6,,,,,,,,,,,,,6,,,3,,,,,,,,
7/7/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2020,3053,278,194,84,89,2,131,5,7,32,1,,,,,29,,,,23,,,,,,,,4,20,,1,,,,2,,,,,,,13,,,,8,,,,,2,,
7/9/2020,3803,447,280,167,64,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2020,6979,473,324,149,76,8,315,41,,25,,,,,11,18,,,,8,1,,5,1,,,,3,23,,,,,,,2,,,,,1,12,,,3,2,,,,1,,,1
7/11/2020,1403,278,116,112,99,3,162,2,,28,,,1,,,,,1,,,,2,1,,1,,,16,22,,1,1,,,,,,,,,,40,,,,,,,,,,,
7/12/2020,7050,379,253,126,49,1,209,16,,49,,,1,,2,38,,,,19,1,,8,1,,1,,5,5,,,,,,,,,,2,,,12,,,6,,1,,2,,1,,
7/13/2020,1205,189,106,83,65,12,147,2,,20,,,,,1,,,,,,,,1,1,,,,,11,,,,,,,,,,,,1,5,,,,,,,,,,,
7/14/2020,4992,497,318,179,71,5,292,28,,62,,,,1,,10,,,,,,,8,1,,2,1,5,30,,2,,,,3,1,,,2,,1,51,,,,,,,,,,,
7/15/2020,4261,461,,,51,7,248,1,,20,3,,,3,2,12,,,1,14,,,4,,,7,,11,97,,1,,,,2,6,,,,,7,15,,,4,1,,,,,,,2
7/16/2020,3895,421,297,124,570,8,246,15,,38,,,1,,2,32,,,2,10,,,3,,,,,3,9,,,,,,33,,,,1,,2,20,,,4,,,,,,,,
7/17/2020,3545,389,,,345,5,270,11,,26,,1,,1,4,9,,,,,1,,2,3,,,,21,9,,,,1,,14,3,1,,,,,6,,2,,1,1,,,2,,,
7/18/2020,4522,688,425,263,457,3,537,18,,59,,1,,,,15,,,,1,,,2,,,,,2,20,,4,,,,1,5,,,1,,5,14,,,,,,,,,1,2,
7/19/2020,5724,603,361,242,682,9,441,22,,44,6,2,,1,1,7,,3,,,,,1,1,,2,,17,6,,,,1,,5,10,1,,1,,,29,,,1,,1,,,,,,
7/20/2020,2474,418,263,155,494,4,292,6,,54,,,,,,1,,,,,,,,,,2,,5,28,,5,2,,,,,,,5,,,13,3,,,,1,,,,1,,
7/21/2020,3637,397,236,161,642,12,239,12,,33,1,,,,1,16,,,,8,,,8,5,,17,,12,27,,,1,,,,,,,3,,3,10,,,1,,,,,,,,
7/22/2020,4275,637,361,276,499,10,342,17,1,51,3,,,1,1,10,1,9,5,,,,6,3,1,13,,22,85,1,1,,,,,1,,,1,,1,57,1,,,,1,,,,,,2
7/23/2020,6754,796,503,293,378,3,539,4,,63,3,,,,1,6,,2,,26,1,2,11,15,,1,,7,57,1,,,,,,,,,11,,9,37,,,,,,,,,,,
7/24/2020,5075,667,393,274,311,11,387,26,1,40,,1,1,,4,9,,2,1,,,,14,,,4,,15,47,,,,,,5,6,,,1,,,79,,,2,,11,,5,6,,,
7/25/2020,2052,375,229,146,128,4,240,3,1,31,1,,,1,3,,,1,,16,2,1,3,,,5,,14,15,,1,,,,,,,,,,,36,,,,,,,,,,,
7/26/2020,8261,892,,,6,2,466,48,,91,1,2,,2,14,21,,5,8,,1,,15,7,,2,,12,56,3,,,,,5,,,,10,,5,96,,,,2,10,,,9,,1,
7/27/2020,3197,440,286,154,90,5,326,10,,17,,,,,,2,,5,,,,,13,,,1,2,,32,1,,,1,,,5,,,,5,,17,,,,1,,,2,,,,
7/28/2020,4888,606,409,197,75,14,448,7,,54,,,,,,7,,1,3,,,,11,9,,2,2,11,16,1,,,,,,,,,2,,,25,,,1,,6,,,,,,
7/29/2020,5259,544,340,204,113,12,326,15,1,51,7,2,1,1,4,19,,9,,9,1,,9,1,1,5,,20,11,,,1,,,,,,1,10,,6,33,,,,,,,,,,,
7/30/2020,5521,788,475,313,100,14,487,25,,86,,,,,8,20,2,3,9,,2,8,5,8,1,4,3,34,21,,2,,4,,1,2,1,,14,5,,26,1,,1,,5,,,,,,
7/31/2020,8679,723,450,273,44,16,436,48,2,45,,,,2,6,8,,7,5,,,3,10,7,,3,,83,9,,2,1,,1,1,1,3,,,5,,9,,,2,2,3,,2,12,2,2,1
8/1/2020,6371,727,465,262,254,23,470,16,2,64,1,1,,,9,13,20,9,2,15,1,7,5,,2,7,4,9,12,,2,5,,,,1,1,,5,,11,25,,,,,3,1,,,4,,
8/2/2020,5393,690,492,198,58,5,535,1,,56,,1,,,6,9,,,,,,,,,,24,,6,7,4,1,1,,,,,1,,3,,3,28,,,,,4,,,,,,
8/3/2020,2653,544,315,229,263,13,412,9,,27,1,1,,,,1,,1,,,,,14,,,5,,8,17,1,1,,,,4,1,1,,5,,2,17,,,,,16,,,,,,
8/4/2020,4547,605,,,587,6,373,9,,35,,1,,12,2,20,,5,,25,,1,11,5,,2,,15,10,,1,,,2,2,2,,,20,,16,16,1,,,3,,8,,7,1,,
8/5/2020,6200,671,413,258,603,3,376,6,2,112,5,,1,1,16,15,,2,9,,2,,15,9,,13,5,10,20,5,7,,2,,,2,,,10,2,,16,,,,1,3,1,,,,3,
8/6/2020,6195,538,333,205,514,8,277,7,,72,3,,,,1,8,,15,6,7,3,,2,1,,20,,25,9,,3,,2,,2,,1,,3,1,6,55,,6,,,,1,1,,,,
8/7/2020,6814,727,539,188,674,14,393,9,,53,5,,,2,5,20,4,1,1,1,,,,,,1,,30,38,,4,,,1,8,,,,14,,9,108,,,,,1,,,,,,
8/8/2020,7175,699,427,272,781,5,414,9,,54,5,7,,,2,9,,2,3,3,1,1,15,6,4,,3,21,36,,3,2,,,,,,,,,11,81,,,,2,3,,,,,,1
8/9/2020,4420,599,373,226,1062,2,318,28,,70,9,,1,6,4,2,,4,1,,1,1,,14,,3,1,39,38,,2,3,,,5,3,,,3,,,26,4,,,,1,,1,,10,,1
8/10/2020,4603,492,331,161,534,3,357,3,,37,,,,,,5,,3,,,,,1,,,,,,10,3,,,,,1,2,,,,3,,14,,,,,52,,,,1,,
8/11/2020,4171,497,312,185,372,15,236,19,,45,3,,5,2,17,8,3,11,7,,17,,5,5,,8,11,2,19,2,3,,,,1,5,2,5,,,18,26,,,3,,3,,3,2,,,1
8/12/2020,6590,679,400,279,743,18,349,16,2,69,,,1,1,7,6,4,4,1,8,3,1,13,14,3,23,6,8,25,3,5,13,11,,4,2,,,2,1,9,35,2,,,1,18,1,,,4,4,
8/13/2020,6768,650,391,259,490,4,356,7,,53,7,9,1,,2,20,,5,10,7,1,,15,4,,1,3,48,26,3,,,6,1,4,,,,5,3,15,20,4,2,,,,4,,5,1,,2
8/14/2020,5458,580,336,244,198,5,375,15,2,53,2,1,,5,12,17,,1,,,1,1,4,,,7,,15,23,,,1,,,4,3,,,,2,3,14,2,,10,,1,4,,2,,,
8/15/2020,,515,316,199,672,7,251,7,,33,19,,,2,,4,,11,19,10,,,8,23,16,9,3,18,3,3,,3,,,,,,,4,,12,8,41,,5,,,,3,,,,
8/16/2020,3746,271,170,101,686,2,126,6,,11,2,1,,2,8,14,13,1,,,4,1,,,,4,,10,12,,,,,,1,1,,,12,,,10,10,,3,3,8,8,,,,,
8/17/2020,3150,245,145,100,504,8,149,10,,23,,,,,1,4,,2,,,,,1,,,7,,,9,,,,1,,,3,1,,7,,2,14,2,,,,9,,,,,,
8/18/2020,4019,271,178,93,208,5,99,3,1,20,,,,,3,12,1,3,,18,,,18,,,2,2,4,3,1,,,,,4,3,,,,,20,9,1,,11,3,4,11,,10,,3,2
8/19/2020,,379,223,156,244,19,219,7,,40,1,,1,,10,2,1,,5,,1,,28,6,2,4,4,,13,,,,,,1,2,,,3,5,1,14,,,,1,2,,,,3,,
8/20/2020,,426,239,187,256,10,132,16,,24,,,,1,11,7,1,,,17,,,10,48,,7,,11,21,2,1,3,8,,6,4,,,,1,13,63,13,,1,,3,,,,2,,
8/21/2020,4470,322,179,143,288,16,106,11,1,23,23,,2,,5,13,,1,5,,,,3,1,4,,4,25,25,,,3,,,1,,,,,,,53,3,,,3,4,,,3,,,
8/22/2020,5724,355,213,142,296,10,118,25,1,23,3,,,,9,6,4,4,6,20,,,4,5,7,,1,25,18,1,1,1,,,,1,1,,9,,9,20,5,,15,5,4,2,,,,1,1
8/23/2020,4179,246,157,89,217,6,78,6,,22,11,,1,1,8,17,12,1,,,17,,,1,,2,,20,16,3,,,1,,,1,,,,,,24,1,,,,2,,,,1,,
8/24/2020,3381,193,137,56,225,6,78,10,,18,,,,,,,,5,,,2,,1,,,13,,1,1,24,1,1,1,,,2,,,,,,3,,,4,,21,6,,,1,,
8/25/2020,4149,246,170,76,160,6,75,7,,28,,1,1,1,18,1,,4,,9,,,8,,,6,2,2,16,2,,,1,,2,5,3,,,2,4,3,4,,10,7,13,,,9,1,1,
8/26/2020,,213,139,74,241,5,101,19,,12,3,3,,,2,17,3,2,4,,,,1,6,,,,2,8,,5,,,,2,3,1,,1,,,7,,,2,,,3,,,5,1,
8/27/2020,4663,373,273,100,72,3,117,6,,12,32,,1,2,11,66,4,5,2,5,,1,8,3,15,3,3,37,3,,1,,,,1,,,,7,,,4,2,,,7,7,,,1,7,,
8/28/2020,4520,241,152,89,66,0,113,14,,10,,1,,4,3,5,9,,2,,4,,6,4,,2,1,7,2,1,,1,,,2,4,,,9,,7,8,1,,5,10,,,,6,,,
8/29/2020,3009,164,90,74,156,5,56,4,,5,,,,,1,6,1,,,,,,14,,,1,,8,24,,1,2,,,1,5,,,,,,15,,,4,11,1,,,4,,,
8/30/2020,4424,263,180,83,98,2,81,9,1,26,6,,,,2,10,,2,2,4,,1,,,,13,,15,3,20,2,,,,18,1,,,3,2,2,7,6,,3,10,8,,,,1,5,
8/31/2020,4260,144,88,56,205,3,77,18,,9,,,,,6,,,,,,1,1,,,1,,2,4,5,,1,,,,,1,,,5,,1,6,,,,,,,,5,1,,
9/1/2020,1682,114,93,21,318,0,16,17,,14,,,,,1,12,,,,3,,,6,,,5,,,2,1,,,,,,,,,,,,,14,,,8,15,,,,,,
9/2/2020,3474,178,110,68,238,4,48,3,,12,10,,,,9,22,,1,4,,,1,8,24,,1,,7,2,6,1,,,,1,,,,2,,1,,2,,,,12,,,,1,,
9/3/2020,3937,212,132,80,195,4,96,21,,11,,1,,,,10,,1,2,1,,,9,1,,1,,7,7,,1,,,,,6,1,1,8,,9,4,,,6,8,,,,,,,
9/4/2020,4178,179,126,53,415,4,66,2,,9,2,,3,,5,11,,1,,,3,,1,3,,2,,12,3,,,,,,,1,,,,1,2,3,6,,,10,21,,,12,,,
9/5/2020,3707,136,85,51,99,5,35,25,,1,3,,,2,9,3,,,,8,1,,4,,,,,,,6,,7,1,1,,7,,,,2,,11,1,,,,,,,9,,,
9/6/2020,3093,83,58,25,72,3,27,1,,5,3,,,,12,15,1,,,,,,1,,,,,7,7,,,1,,,,,,,,,3,,,,,,,,,,,,
9/7/2020,2668,102,51,51,80,2,41,6,,7,,2,,,1,5,,3,,,,,,,,4,,,2,1,3,,,,2,2,,,,,1,2,11,,,4,1,,,4,,,
9/8/2020,2552,151,74,77,173, -   ,23,2,,9,7,,,,,2,,,1,9,6,,11,3,,,,1,2,,1,1,,,,2,,,4,,1,1,54,,,2,9,,,,,,
